Function,LG_Code,nbits
TV On/Off,0x04FB4AB5,32
TV 1,0x04FB00FF,32
TV 2,0x04FB08F7,32
TV 3,0x04FB8877,32
TV 4,0x04FBC837,32
TV 5,0x04FB28D7,32
TV 6,0x04FBA857,32
TV 7,0x04FBE817,32
TV 8,0x04FB18E7,32
TV 9,0x04FB32CD,32
TV 0,0x04FB38C7,32
TV PTY,0x04FBD827,32
TV Cycle,0x04FB32CD,32
TV Red,0x04FBB847,32
TV Green,0x04FBF807,32
TV Yellow,0x04FB629D,32
TV Blue,0x04FBE01F,32
TV Info/OSD,0x04FBF00F,32
TV Auto,0x04FBB04F,32
TV Menu,0x04FB609F,32
TV F.List,0x04FB48B7,32
TV C.List,0x04FB8A75,32
TV Fav,0x04FB12ED,32
TV EPG,0x04FBA25D,32
TV Source,0x04FB02FD,32
TV Exit,0x04FB50AF,32
TV OK,0x04FB52AD,32
TV Left,0x04FB926D,32
TV Right,0x04FBD22D,32
TV Up,0x04FBE21D,32
TV Down,0x04FBB24D,32
TV Mute,0x04FBCA35,32
TV Vol plus,0x04FBC03F,32
TV Vol -,0x04FB827D,32
TV Channel plus,0x04FB40BF,32
TV Channel -,0x04FB906F,32
TV MTS/Audio,0x04FBD02F,32
TV Sleep,0x04FB728D,32
TV CC,0x04FB42BD,32
Fireplace On/Off,0x04FB8C73,32
Fireplace Flames Adj,0x04FB4CB3,32
Fireplace Temp,0x04FBCC33,32
Fireplace Timer,0x04FB2CD3,32
Stereo On/Off,0x807F40BF,32
Stereo 1,0x807F807F,32
Stereo 2,0x807F906F,32
Stereo 3,0x807F8877,32
Stereo 4,0x807F9867,32
Stereo 5,0x807F609F,32
Stereo 6,0x807F708F,32
Stereo 7,0x807F6897,32
Stereo 8,0x807F7887,32
Stereo 9,0x807F728D,32
Stereo 0,0x807F6A95,32
Stereo Info/OSD,0x807FB04F,32
Stereo OK,0x807F8A75,32
Stereo Left,0x807F926D,32
Stereo Right,0x807F9A65,32
Stereo Up,0x807F4AB5,32
Stereo Down,0x807FCA35,32
Stereo Vol plus,0x807FC23D,32
Stereo Vol -,0x807FC03F,32
Stereo Play/Pause,0x807FC837,32
Stereo Mute,0x807FA857,32
Stereo Previous,0x807FD827,32
Stereo Next,0x807FDA25,32
Stereo Stop,0x807FD02F,32
Stereo Eject,0x807F50AF,32
Stereo Step,0x807FB847,32
Stereo APS,0x807FBA45,32
Stereo AM/FM,0x807F52AD,32
Stereo DVD/USB,0x807F42BD,32
Stereo Aux/ARC,0x807F48B7,32
Stereo AV,0x807F58A7,32
Stereo Clock,0x807F629D,32
Stereo Setup,0x807FD22D,32
Stereo RPT,0x807FEA15,32
Stereo RDM,0x807FFA05,32
Stereo A-B,0x807FE01F,32
Stereo Prog,0x807FA05F,32
Stereo Zoom,0x807FE21D,32
Stereo ST/Angle,0x807FB24D,32
Stereo Title/PBC,0x807FE817,32
Stereo EQ,0x807FF20D,32
Stereo Sel,0x807F827D,32
Stereo LOC/Slow,0x807FA25D,32
Stereo Search/GOTO,0x807FAA55,32
Stereo Subt,0x807FF807,32